,Character Count,Date,Number Tagged,Polarity,Sentiment,Subjectivity,Text,Word Count
1210,140.0,2019-06-29 13:33:37,1.0,0.5,positive,0.9,@teamnike I’m having issues with the Nike Run Club app on my phone and watch. I have the latest version. I tried re… https://t.co/SCoZ8TE3fL,24.0
1211,83.0,2019-06-29 13:33:34,0.0,0.5,positive,1.0,TJ doesn’t care about this Nike stuff. He would have been satisfied with Paw Patrol,15.0
1212,105.0,2019-06-29 13:33:27,1.0,0.32999999999999996,positive,0.49000000000000005,@vonHerff most interesting tweet of the day. I thought Nike was the red hot favourites to secure the deal,19.0
1213,30.0,2019-06-29 13:33:05,0.0,0.0,neutral,0.0,Nike’s https://t.co/Y25ckllk2R,2.0
1214,57.0,2019-06-29 13:32:55,1.0,0.0,neutral,0.0,@mainreth Dongle to connect the iPod to the Nike+ sensor.,10.0
1215,130.0,2019-06-29 13:32:52,0.0,-0.2,negative,0.3,Check out what I just added to my closet on Poshmark: Nike Air FoampositPro Island green 624041-304 sz10.… https://t.co/A4DMzCayYh,19.0
1216,18.0,2019-06-29 13:32:49,1.0,0.5,positive,0.5,@mowiyum okay nike,3.0
1217,67.0,2019-06-29 13:32:44,0.0,0.0,neutral,0.0,Nike $NKE Given Buy Rating at Deutsche Bank https://t.co/9N1Rf9JNFD,9.0
1218,124.0,2019-06-29 13:32:43,2.0,-0.2916666666666667,negative,0.5416666666666666,"“Hard Work Pays Off” - @Mathewfras 
@roguefitness 

*
*
*
#Rogue #RogueFitness #RYouRogue #CrossFit… https://t.co/AjtOVt1pHO",12.0
1219,58.0,2019-06-29 13:32:41,1.0,0.1875,positive,0.425,@Eastbay Nike Foamposite One Royal Blue (Original Penny’s),8.0
1220,138.0,2019-06-29 13:32:37,0.0,0.875,positive,0.6000000000000001,"#10secondsofzen 
Good morning Saturday! #proyou #iam #zen #proyoupodcastbytjd #youareworthit #thankful #spiritual… https://t.co/SCyPUzQGPy",12.0
1221,130.0,2019-06-29 13:32:36,8.0,0.0,neutral,0.0,@PompeyCal @dannylaceyUK @DonnaJones4MP @AndySuffield @Daddyofgirlz @AshBeen23 @PompeyNewsNow @PompeyAFSC… https://t.co/39ZbvXOX9G,9.0
1222,63.0,2019-06-29 13:32:34,1.0,-0.8,negative,0.9,@JayKubzScouts Adidas or Nike’s. Anything else I hate wearing 😂,10.0
1223,134.0,2019-06-29 13:32:26,0.0,-0.325,negative,0.7,"Nothing beats a cold coffee and waffle after a long run .
.
#hshive #stingorbeestung #honeystinger #beestmode… https://t.co/EXGMdZjugE",16.0
1224,25.0,2019-06-29 13:32:12,0.0,0.0,neutral,0.0,"Once I’m done , I’m done.",6.0
1225,37.0,2019-06-29 13:32:11,1.0,0.13636363636363635,positive,0.45454545454545453,@ThisIsRowly Nike or new balance imo.,6.0
1226,73.0,2019-06-29 13:32:10,0.0,0.0,neutral,0.0,Idk... it’s something about a man in a Nike track suit with vapor Max’s 🤤,15.0
1227,140.0,2019-06-29 13:32:04,0.0,-0.4,negative,0.8500000000000001,"All I do is post crazy shit
Post my biz
Then chill with my peeps...
Boom
🤑🤑🤑🤑🤑
Them YoniPops and Nike sets.... is w… https://t.co/9PIbXJSjRf",20.0
1228,110.0,2019-06-29 13:32:03,0.0,0.0,neutral,0.0,"Nike Air Max 270 React
Release Date: July 3rd, 2019
$150 
👇👇👇👇
https://t.co/KCmkNYOh19 https://t.co/3ymx2O1vao",11.0
1229,126.0,2019-06-29 13:32:01,0.0,0.05,positive,0.35,Short in $NKE - highlighted on Sunday in The Chart Book is now off nearly 4 points..... #transparency… https://t.co/dZlAPPaTPU,19.0
1230,129.0,2019-06-29 13:31:58,1.0,0.0,neutral,0.0,Check out what I just added to my closet on Poshmark: Nike Slides women’s. https://t.co/R90HliVUE0 via @poshmarkapp #shopmycloset,18.0
1231,139.0,2019-06-29 13:31:57,0.0,0.4,positive,0.8,Check out what I just added to my closet on Poshmark: NIKE FREE RUN 3 Toddler size 4C. https://t.co/SkW8iFtCJf via… https://t.co/FhSrOe4era,21.0
1232,101.0,2019-06-29 13:31:56,0.0,0.0,neutral,0.0,Nike has officially released Giannis Antetokounmpo’s Ignatieff shoe. #ILikeEm https://t.co/P0yBE5Ug70,10.0
1233,40.0,2019-06-29 13:31:22,0.0,0.0,neutral,0.0,AirForce1Hi/Nike https://t.co/GxS8CvmCRe,2.0
1234,80.0,2019-06-29 13:31:21,1.0,-0.28125,negative,0.39999999999999997,What’s with the pajamas tennis outifts this season @Nike .? Major design  fail !,15.0
1235,126.0,2019-06-29 13:31:20,0.0,0.4,positive,0.4,"Nike Air Force 1 ""White/Black-Pure Platinum"" available online at https://t.co/GHTMjj2KeY get yours ➡️… https://t.co/SmLD8lau6T",14.0
1236,140.0,2019-06-29 13:31:10,0.0,-0.002222222222222218,negative,0.3244444444444444,"Releases in 30m
Air Jordan 1 High Retro OG ""Black Gym Red""

FA:https://t.co/lOhmpbTTbc
SP:https://t.co/MWjHpzEsbs
J… https://t.co/PBpp6cy3h0",12.0
1237,113.0,2019-06-29 13:31:06,0.0,0.10000000000000002,positive,0.4666666666666666,He about to be using this expensive Nike backpack &amp; lunch box for Pre-K through 3rd grade. I ain’t lying! Lol,21.0
